Variety;humi;HUMI;weig;WEIG;prot;PROT;ash;ASH;glut;GLUT;iglu;IGLU;iyel;IYEL
Anco Marzio;-1,36;2,00;-0,04;1,50;-1,25;0,83;-3,27;0,30;-0,86;0,90;-0,51;1,26;-1,78;0,41
Ciccio;-1,36;0,01;0,47;2,01;-2,33;1,41;-1,20;0,66;-2,84;0,24;-0,95;1,52;-1,72;0,47
Claudio;0,00;0,49;0,51;1,50;-1,42;1,41;-1,06;1,37;-1,15;1,92;-1,39;1,17;-1,19;0,35
Creso;0,00;0,00;1,00;1,50;-1,42;1,25;-1,77;0,23;-0,93;2,21;-2,37;0,81;-2,96;0,41
Duilio;0,63;0,37;0,00;0,99;-2,25;2,24;-1,42;0,87;-1,52;0,90;-1,57;0,55;-1,36;-0,48
Iride;0,04;0,15;0,81;0,99;-1,67;1,41;-1,27;1,66;-2,10;0,90;-1,13;1,34;-0,89;1,00
Levante;0,00;1,00;0,00;1,50;-0,92;1,00;-0,70;2,23;-0,57;1,34;-0,60;1,34;0,23;2,18
Orobel;0,06;0,35;0,59;0,99;-0,67;1,00;0,58;1,66;-0,71;1,56;-3,16;0,99;-1,66;1,88
Quadrato;0,79;0,00;0,21;0,47;-0,84;0,00;-1,20;1,08;-0,49;0,46;1,08;1,61;0,17;1,06
Rusticano;0,36;0,00;0,64;1,50;-0,75;1,66;-0,77;0,73;-0,13;1,26;-1,39;1,61;-1,19;0,29
San Carlo;0,50;0,23;0,27;0,99;-0,50;1,58;-1,42;1,66;-1,30;2,07;-1,39;1,52;-0,42;1,35
Saragolla;0,00;1,00;0,00;-0,04;-1,17;2,58;0,80;1,73;-1,96;1,63;-0,25;1,79;-1,07;1,82
Simeto;0,51;0,29;0,21;2,01;-3,17;0,25;-2,13;0,23;-2,76;0,82;-2,28;1,52;-1,19;1,29
Svevo;0,02;0,00;0,98;0,99;-0,67;2,41;-0,99;1,44;-1,37;2,51;-2,19;1,08;0,35;2,65
;;;;;;;;;;;;;;
